Class,Package_Ecosystem,Package_Name,Package_Version,Analysis_import_Commands_Command,Analysis_import_Sockets_Hostnames,Analysis_import_Sockets_Address
benign,npm,expect,29.6.4,expect,,
benign,npm,dotenv,16.4.2,dotenv,,
benign,npm,expect,30.0.0-alpha.2,expect,,
benign,npm,nodemon,3.0.3,ps,,
benign,npm,dotenv,16.4.5,dotenv,,
benign,npm,tar,7.1.0,tar,,
benign,npm,which,4.0.0,which,,
benign,npm,open,10.0.3,open,,
benign,npm,which,3.0.1,which,,
benign,npm,ip,1.1.9,ip,,
benign,npm,open,8.4.2,open,,
benign,npm,nodemon,3.1.0,ps,,
benign,npm,tar,6.2.1,tar,,
benign,npm,ip,2.0.1,ip,,
malicious,pypi,lodestone,0.0.56,git,,::1
malicious,pypi,lodestone,0.0.56,git,,
malicious,pypi,lodestone,0.0.55,git,,
malicious,pypi,lodestone,0.0.57,git,,::1
malicious,pypi,lodestone,0.0.53,git,,
malicious,pypi,lodestone,0.0.52,git,,
malicious,pypi,lodestone,0.0.57,git,,
malicious,pypi,this-is-malware,0.1.0,whoami,,
malicious,pypi,lodestone,0.0.55,git,,::1
malicious,pypi,bobikssf,0.4,whoami,pastebin.com,2606:4700:10::6814:438f
malicious,pypi,bobikssf,0.4,whoami,,
malicious,pypi,bobikssf,0.4,hostname,discord.com,162.159.138.232
malicious,pypi,bobikssf,0.4,hostname,,8.8.8.8
malicious,pypi,bobikssf,0.4,whoami,pastebin.com,104.20.68.143
malicious,pypi,bobikssf,0.4,hostname,api.ipify.org,173.231.16.76
malicious,pypi,bobikssf,0.4,whoami,api.ipify.org,104.237.62.211
malicious,pypi,bobikssf,0.4,whoami,discord.com,162.159.135.232
malicious,pypi,bobikssf,0.4,whoami,,::1
malicious,pypi,bobikssf,0.4,hostname,pastebin.com,2606:4700:10::6814:448f
malicious,pypi,bobikssf,0.4,whoami,pastebin.com,172.67.34.170
malicious,pypi,bobikssf,0.4,whoami,,8.8.8.8
malicious,pypi,bobikssf,0.4,whoami,discord.com,162.159.128.233
malicious,pypi,bobikssf,0.4,whoami,pastebin.com,2606:4700:10::ac43:22aa
malicious,pypi,bobikssf,0.4,whoami,api.ipify.org,173.231.16.76
malicious,pypi,bobikssf,0.4,hostname,pastebin.com,104.20.68.143
malicious,pypi,bobikssf,0.4,hostname,discord.com,162.159.137.232
malicious,pypi,bobikssf,0.4,hostname,pastebin.com,2606:4700:10::ac43:22aa
malicious,pypi,bobikssf,0.4,hostname,discord.com,162.159.128.233
malicious,pypi,bobikssf,0.4,whoami,pastebin.com,2606:4700:10::6814:448f
malicious,pypi,bobikssf,0.4,hostname,api.ipify.org,104.237.62.211
malicious,pypi,bobikssf,0.4,hostname,discord.com,162.159.135.232
malicious,pypi,bobikssf,0.4,hostname,api.ipify.org,64.185.227.156
malicious,pypi,bobikssf,0.4,whoami,discord.com,162.159.137.232
malicious,pypi,bobikssf,0.4,whoami,discord.com,162.159.136.232
malicious,pypi,bobikssf,0.4,hostname,api.ipify.org,
malicious,pypi,bobikssf,0.4,whoami,discord.com,162.159.138.232
malicious,pypi,bobikssf,0.4,hostname,pastebin.com,104.20.67.143
malicious,pypi,bobikssf,0.4,hostname,pastebin.com,172.67.34.170
malicious,pypi,bobikssf,0.4,whoami,pastebin.com,
malicious,pypi,bobikssf,0.4,hostname,,
malicious,pypi,bobikssf,0.4,whoami,api.ipify.org,64.185.227.156
malicious,pypi,bobikssf,0.4,whoami,pastebin.com,104.20.67.143
malicious,pypi,bobikssf,0.4,hostname,discord.com,162.159.136.232
malicious,pypi,bobikssf,0.4,hostname,pastebin.com,2606:4700:10::6814:438f
malicious,pypi,bobikssf,0.4,hostname,,::1
malicious,pypi,bobikssf,0.4,hostname,pastebin.com,
malicious,pypi,bobikssf,0.4,hostname,discord.com,
malicious,pypi,bobikssf,0.4,whoami,api.ipify.org,
malicious,pypi,bobikssf,0.4,whoami,discord.com,
malicious,pypi,lodestone,0.0.37,fc-list,,::1
malicious,pypi,lodestone,0.0.37,fc-list,,8.8.8.8
